"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Algeria","Metal ores","Exports","EXP","t","3016341","2092054","0","1359124","3140536","1794938","1928026","349131","272699","132626","169808","1759399","1635401","1691483","1378528","157689","189963","269626","420081","214761","370191","366312","330810","375387","305907","335854","446371","419762","155877","294081","386340","316240","703100","174629","260031","188909","301667","339932","254565","98068","126718","124796","81206","57211","33452","23206","2927","29519","27877","26248","26075","27492","28368","29342","30363"
"Algeria","Metal ores","Imports","IMP","t","444557","476239","0","876257","1270498","1186310","934637","1343140","1800801","1477576","1563086","1799992","1785365","1787769","2329388","1690344","1507303","1130276","1039160","1385548","1118764","1202412","1416192","1258165","1825027","1594312","1189639","1205965","1422413","1545021","1617363","2056003","2338934","2667337","2807674","3381250","4111157","3884186","5118526","5887052","4640608","4719031","5509272","5848440","6465660","7346785","6380072","4100188","4209056","4317930","4337358","4528320","4725126","4839097","5092924"
"Algeria","Metal ores","Material Footprint (RMC)","MF","t","6544965","6707070","7563107","7318028","8539003","8025305","7818479","8006634","7796069","8367198","9504768","9543863","9621273","9646284","10507294","10828772","10419760","9932101","8752944","8005316","8430146","6927161","9567588","9005716","8871839","8438884","7532322","6812643","7952655","8015905","7106488","6521024","7796964","8787270","11509543","13083416","13584694","15979421","21414153","20430803","19908700","22460142","22502363","23700269","24387799","22585837","23298802","20532334","19489656","17804595","15246023","14616468","14902201","15521784","16038228"
"Andorra","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andorra","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andorra","Metal ores","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","625","578","292","370","440","1069","1026","1060","1003","1571","1260","1977","3086","1753","1522","1674","1613","1950","1606","1077","1039","1255","1186","1022","1065","1038","1090","1129","1170","1210"
"Andorra","Metal ores","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16148","20409","21001","22078","28373","31239","35824","35598","39714","42457","0","42567","33994","29969","24719","25998","16527","11203","10194","12378","12200","11965","6970","14066","13283","12646","13156","13532","13859","14161"
"Angola","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","Metal ores","Exports","EXP","t","5437482","5511050","5127504","6340412","5274872","0","0","0","0","0","142","298466","0","0","0","0","0","0","0","0","338","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23533","25086","37873","87399","21466","21225","22403","23131","23929","24753"
